epoch,IoU_rail track,IoU_gate,IoU_person,IoU_vegetation,IoU_terrain,IoU_garage,IoU_license plate,mIoU,valIoU_rail track,valIoU_gate,valIoU_person,valIoU_vegetation,valIoU_terrain,valIoU_garage,valIoU_license plate,mVal_IoU
85,0.9140692,0.19388407,0.36359006,0.7996933,0.5107253,0.8522903,0.8206138,63.64094018936157,0.9056532607934652,0.23631724691455494,0.4180691620464157,0.7909186560384547,0.5024196085688781,0.7936791949014749,0.8251627928654062,63.88885603040928
86,0.919349,0.19198397,0.41899386,0.80719024,0.5702031,0.84224814,0.8152418,65.21729230880737,0.9086542706064967,0.22975613617015328,0.42036522345779753,0.7930864943032598,0.5151012996582391,0.7992242448468019,0.8227714985371487,64.12798810828424
87,0.8908767,0.28916004,0.50309575,0.7863165,0.47580647,0.75438744,0.80858433,64.40324783325195,0.9095741839875874,0.24065550000660196,0.4292017799562282,0.7904391719183971,0.5130804676923982,0.7881376687168252,0.8229534927009745,64.20060378541447
88,0.92300963,0.23095414,0.39977562,0.79684705,0.5625303,0.80652535,0.84933,65.27103185653687,0.910409620199929,0.23750749359106096,0.42217858619164994,0.7925325300204048,0.5209308175456484,0.7905465746054152,0.8313848835465879,64.36415008143852
89,0.8988153,0.382641,0.5114353,0.80182946,0.5061018,0.8062087,0.83276427,67.71136522293091,0.9100934812171262,0.25449272708446835,0.4327629107255411,0.7929070077679052,0.5246513114576729,0.7862469257060951,0.8385672866082039,64.85316643667161
90,0.90868104,0.2901284,0.43077514,0.8110543,0.5460637,0.8403852,0.78819954,65.93267321586609,0.9116130349618085,0.2566224303142275,0.4439955477719212,0.7957382790154098,0.533915815956305,0.789695201727438,0.8418866033228789,65.33524161528555
91,0.91296,0.2781481,0.41113725,0.8152893,0.5340848,0.85145396,0.8598968,66.61385893821716,0.9119152436690268,0.258057363031688,0.4403280747660253,0.7974349345285419,0.5328808635198871,0.7955493070997062,0.8428578559002271,65.41462346450146
92,0.9153632,0.34214377,0.51886046,0.8092204,0.5358444,0.8016987,0.8144143,67.67921447753906,0.9125648696388208,0.26545314320963687,0.46635930898870015,0.7987439852557968,0.5278000095415486,0.7945308950386201,0.8425888368692604,65.82915783631977
93,0.9192411,0.34219173,0.5346921,0.772369,0.56665945,0.7205062,0.80707663,66.61051511764526,0.9137280604235555,0.28320800923965195,0.47514482632181176,0.7971494210719533,0.5367451291623238,0.7851128882257993,0.8449173323200677,66.22865238235948
94,0.9110539,0.36804095,0.5063045,0.82210535,0.57207435,0.79371697,0.8348125,68.68726015090942,0.9143229548789328,0.29505483085034157,0.475045882966826,0.8000880519667283,0.5367501986361893,0.7890850413562606,0.8411923948204602,66.45056222108198
95,0.90835065,0.27585462,0.4917858,0.79903436,0.55992115,0.81833476,0.69612247,64.9914801120758,0.9148039663445772,0.2955124077942054,0.4757590106897213,0.8019606133282735,0.5413174918289719,0.7954321377839609,0.8270870139968374,66.45532345380784
96,0.9203425,0.29332906,0.42368782,0.8042645,0.5956251,0.8028546,0.83099085,66.7299211025238,0.9151183907986827,0.29609914779915175,0.4794420103548552,0.8006367950693446,0.5423541412616473,0.7940387086359886,0.8286347493142697,66.51891347477056
97,0.9167386,0.23604885,0.48913547,0.80311435,0.5042168,0.83159375,0.878664,66.56445264816284,0.9144446351457692,0.28886965444652074,0.48011370112087215,0.7985116365381911,0.5258970408204211,0.7958527951338045,0.8326245021946649,66.2330566485749
98,0.9141956,0.16963302,0.37597072,0.7733483,0.5558903,0.75826275,0.8420001,62.70429491996765,0.9153445037442042,0.2693043378329908,0.4747514566237413,0.7950732279834838,0.5353680648015664,0.7901589872255143,0.8372051809004369,65.96008227302768
99,0.93146074,0.110725254,0.4308471,0.7849449,0.5776251,0.79677,0.85613877,64.12159204483032,0.9157985266419184,0.24680108644134158,0.4720823459704715,0.788978272303563,0.5308512560793727,0.7863621482111871,0.8411225037463121,65.45708770563094
100,0.90949416,0.2543196,0.3483675,0.81153816,0.52387553,0.8219445,0.8377672,64.39009308815002,0.9165679336699787,0.24420151145948943,0.4661653611502171,0.7910522075999119,0.5418960233323288,0.7853455338922262,0.8429788820563517,65.54582075943578
101,0.90334654,0.20899306,0.47216904,0.75362957,0.47949922,0.6939479,0.883458,62.7863347530365,0.9173509943543214,0.23714886059481405,0.47483950129254915,0.7862965777737724,0.5396751292352953,0.7752356260857488,0.8445550068622448,65.35859565998209
