epoch,IoU1,IoU2,IoU3,IoU4,IoU5,mIoU,valIoU1,valIoU2,valIoU3,valIoU4,valIoU5,mVal_IoU
49,0.8644545,0.692095,0.18447816,0.77492803,0.7992434,66.30398035049438,0.8945677785692095,0.6939806096959712,0.2533354235593017,0.7886585053025654,0.8142201283959473,68.89524891045991
50,0.8656548,0.6836885,0.2796741,0.76700515,0.8535278,68.99100542068481,0.8902671732280162,0.7051332626702683,0.24885241079016404,0.7893003901846276,0.8231726135490364,69.13451700844224
51,0.91101044,0.73580754,0.32965302,0.81722575,0.8058061,71.99005484580994,0.897246552920551,0.7104696209641942,0.2489920494363849,0.7963313561906107,0.822549585629733,69.51178330282947
52,0.91832453,0.74395525,0.2659131,0.8241779,0.8262619,71.57265543937683,0.9017886562101745,0.7114722478004182,0.24752342246665882,0.79994075940854,0.82312108665102,69.67692345073623
53,0.91562253,0.65410316,0.35528427,0.80391717,0.83466965,71.27193212509155,0.9073663867976015,0.706059326773011,0.25671190596959537,0.8029625036529032,0.8209434556140561,69.88087157614335
54,0.88559985,0.59512943,0.33058596,0.7438086,0.7910068,66.92261099815369,0.9078073075150611,0.6903864629926801,0.2712477458291144,0.7981416301530863,0.8182813277773451,69.71728948534574
55,0.9177819,0.6696781,0.37216002,0.79934114,0.8549971,72.27916717529297,0.9107417137940188,0.6929929288668615,0.27657437760324866,0.8007593764952303,0.8235144630591982,70.09165719637116
56,0.91856223,0.67681503,0.25334468,0.7964608,0.85135573,69.93076801300049,0.9122179647846781,0.6963729266797777,0.2745547152547503,0.8025220326763473,0.8283694756762372,70.28074230143581
57,0.91072166,0.7331836,0.26590422,0.8125218,0.8395183,71.23699188232422,0.9142258104578698,0.7032185755367264,0.26987066087512146,0.805503273451906,0.828912590037812,70.43461820718872
58,0.9095438,0.51726377,0.29704165,0.75448227,0.8272696,66.11202359199524,0.9146701941284101,0.68788434753035,0.27270230029631154,0.8020666709564385,0.8313149363549833,70.17276898532987
59,0.91426116,0.6509159,0.36778575,0.7913408,0.81396693,70.76541185379028,0.916706137460707,0.6932621496508871,0.2794887084652253,0.8058338762670523,0.8303869625872482,70.51355668862239
60,0.9186427,0.7023842,0.4088558,0.80843246,0.869571,74.15772080421448,0.9172671042040169,0.7005847523703723,0.2824823895465508,0.8077641920101795,0.8332563393641146,70.82709554990468
61,0.91824967,0.72079176,0.24640276,0.8118938,0.8675296,71.29735350608826,0.9182777873736644,0.7069897087926426,0.2826650767622337,0.8093976713852122,0.8357791101777978,71.06218708983101
62,0.9090731,0.6372893,0.25308442,0.787189,0.83212423,68.37520003318787,0.9187049054399021,0.7049180483438332,0.27856924980544034,0.809779184111382,0.8392354651907548,71.02413705782624
63,0.9275225,0.6732821,0.29024535,0.80985445,0.8077203,70.17248868942261,0.9193984556547585,0.7028367666257378,0.28291901947330145,0.8096863509661636,0.8334461658771589,70.96573517194241
64,0.919377,0.7394347,0.35080546,0.81943625,0.7657164,71.89539670944214,0.9193268308835224,0.7025137140514589,0.29094826120724876,0.8095650527418301,0.8265250713529074,70.97757860473935
65,0.91173506,0.637342,0.2586394,0.7902592,0.84781754,68.91586184501648,0.9192712968424064,0.7005456848039425,0.2813715197863617,0.8090250254492788,0.8276163003664468,70.75659654496872
66,0.91197515,0.57192546,0.24729191,0.77233464,0.8067644,66.20582938194275,0.9182901655980481,0.6854562480670505,0.27895999836816665,0.803434593343117,0.8268385110300305,70.25959032812827
67,0.9044185,0.64522696,0.35138294,0.7793839,0.689954,67.40732789039612,0.9183199140916063,0.6826528849561898,0.28121392668507117,0.8017600611624096,0.8099199092329012,69.87733392256355
68,0.9248566,0.7641585,0.17901893,0.8335288,0.81172365,70.26573419570923,0.9183261231515819,0.6963651498069009,0.2695321406267499,0.8060177590480494,0.814403618851391,70.09289582969348
69,0.90518284,0.697939,0.29662174,0.79756576,0.79922515,69.9306845664978,0.9183342001577658,0.7008620739299787,0.28736210848550614,0.807663930922341,0.8189167085312796,70.66278044053742
70,0.9234971,0.5953965,0.1768898,0.7781786,0.7493924,64.4670844078064,0.9177592394255581,0.6877069894254426,0.27985703982511817,0.8020160661648315,0.8137140263808813,70.02106722443664
71,0.8961431,0.65332687,0.27930728,0.7810474,0.76613414,67.51917600631714,0.9186838511187101,0.6879603877473515,0.29025450511721873,0.8041492187924952,0.811662418129321,70.25420761810193
72,0.9324652,0.7503044,0.3722588,0.83614945,0.86713517,75.16626119613647,0.9188429211879989,0.6986274922258727,0.2944227113228629,0.8087890899737225,0.8259861719740096,70.93336773368932
73,0.8879093,0.732802,0.31604028,0.80409884,0.8079138,70.97528576850891,0.9139632146368576,0.7020249326150555,0.29466043513840573,0.8073990329769489,0.8267883956016749,70.89672021937885
