epochs steps out_loss offset_loss train_accuracy time
4 2 0.400 2.492 0.863 135.275
4 3 0.379 2.399 0.850 135.552
4 4 0.167 2.731 0.934 135.885
4 5 0.088 3.343 0.975 136.336
4 6 0.345 2.245 0.858 136.618
4 7 0.277 2.549 0.882 136.937
4 8 0.244 2.133 0.915 137.193
4 9 0.137 2.915 0.932 137.523
4 10 0.179 2.172 0.940 137.767
4 11 0.253 2.731 0.892 138.068
4 12 0.491 2.081 0.824 138.306
4 13 0.237 2.946 0.906 138.670
4 14 0.290 2.604 0.874 138.999
4 15 0.287 2.761 0.872 139.353
4 16 0.348 2.444 0.853 139.672
4 17 0.150 2.723 0.946 140.030
4 18 0.285 1.972 0.883 140.257
4 19 0.211 2.837 0.920 140.600
4 20 0.314 2.460 0.872 140.908
4 21 0.154 2.657 0.947 141.261
4 22 0.178 2.495 0.933 141.559
4 23 0.360 2.315 0.850 141.768
4 24 0.258 2.605 0.898 142.029
4 25 0.197 2.960 0.923 142.340
4 26 0.249 2.016 0.915 142.568
4 27 0.242 2.073 0.928 142.750
4 28 0.341 1.965 0.854 142.977
4 29 0.152 2.770 0.946 143.314
4 30 0.156 2.585 0.946 143.645
4 31 0.169 2.635 0.943 143.969
4 32 0.177 2.573 0.930 144.291
4 33 0.365 2.313 0.836 144.562
4 34 0.279 2.426 0.906 144.817
4 35 0.342 2.894 0.852 145.139
4 36 0.245 3.491 0.942 145.595
4 37 0.158 2.512 0.943 145.888
4 38 0.654 4.146 0.843 146.290
4 39 0.156 2.541 0.939 146.580
4 40 0.069 3.474 0.982 147.051
4 41 0.178 3.003 0.931 147.470
4 42 0.305 2.170 0.873 147.758
4 43 0.345 2.638 0.851 148.021
4 44 0.253 2.108 0.911 148.267
4 45 0.236 2.471 0.904 148.464
4 46 0.235 2.748 0.905 148.785
4 47 0.179 2.803 0.934 149.116
4 48 0.225 2.918 0.894 149.437
4 49 0.161 2.838 0.933 149.792
4 50 0.229 2.954 0.894 150.002
4 51 0.187 2.845 0.928 150.188
4 52 0.160 2.779 0.941 150.477
4 53 0.134 2.927 0.953 150.824
4 54 0.198 3.051 0.927 151.185
4 55 0.290 2.685 0.891 151.412
4 56 0.236 2.764 0.896 151.795
4 57 0.204 2.212 0.907 152.102
4 58 0.190 2.776 0.919 152.422
4 59 0.462 2.094 0.811 152.627
4 60 0.237 2.393 0.905 152.888
4 61 0.054 3.243 0.991 153.321
4 62 0.224 2.308 0.920 153.582
4 63 0.053 3.280 0.994 154.023
4 64 0.142 2.619 0.946 154.375
4 65 0.208 2.728 0.930 154.718
4 66 0.348 2.851 0.873 154.959
4 67 0.178 3.082 0.936 155.306
4 68 0.238 2.697 0.875 155.536
4 69 0.163 2.657 0.938 155.810
4 70 0.186 2.734 0.933 156.147
4 71 0.189 2.745 0.924 156.488
4 72 0.158 2.756 0.942 156.823
4 73 0.292 2.466 0.874 157.160
4 74 0.190 2.921 0.923 157.481
5 0 0.297 2.367 0.863 164.595
5 1 0.169 3.009 0.929 167.499
5 2 0.170 2.853 0.928 167.924
5 3 0.260 2.544 0.892 168.291
5 4 0.170 2.694 0.936 168.704
5 5 0.325 2.630 0.858 169.085
5 6 0.274 2.296 0.889 169.362
5 7 0.503 2.549 0.784 169.601
5 8 0.258 1.987 0.917 169.870
5 9 0.192 2.834 0.930 170.235
5 10 0.160 2.833 0.934 170.575
5 11 0.176 2.827 0.930 170.891
5 12 0.225 2.798 0.910 171.172
5 13 0.181 2.796 0.937 171.504
5 14 0.134 2.673 0.944 171.834
5 15 0.193 2.785 0.925 172.207
5 16 0.323 1.914 0.881 172.449
5 17 0.435 3.477 0.861 172.655
5 18 0.285 2.148 0.884 172.902
5 19 0.206 2.777 0.920 173.237
5 20 0.246 2.884 0.894 173.613
5 21 0.328 2.517 0.866 173.960
5 22 0.200 3.241 0.913 174.415
5 23 0.159 2.752 0.938 174.759
5 24 0.210 2.669 0.910 175.105
5 25 0.276 3.561 0.944 175.567
5 26 0.306 2.675 0.872 175.770
5 27 0.217 2.804 0.918 176.143
5 28 0.344 2.655 0.855 176.441
5 29 0.262 2.082 0.908 176.650
5 30 0.208 1.922 0.935 176.858
5 31 0.148 2.563 0.944 177.163
5 32 0.368 2.320 0.850 177.473
5 33 0.176 2.282 0.929 177.720
5 34 0.122 3.327 0.949 178.081
5 35 0.241 2.544 0.893 178.351
5 36 0.185 2.055 0.944 178.576
5 37 0.202 1.860 0.931 178.800
5 38 0.145 2.843 0.941 179.149
5 39 0.298 2.630 0.892 179.387
5 40 0.163 2.824 0.930 179.737
5 41 0.239 2.760 0.899 180.091
5 42 0.280 2.239 0.897 180.408
5 43 0.273 2.607 0.872 180.734
5 44 0.161 2.653 0.936 181.103
5 45 0.315 2.309 0.885 181.379
5 46 0.290 1.975 0.884 181.590
5 47 0.242 3.203 0.905 181.829
5 48 0.261 2.246 0.885 182.063
5 49 0.257 2.226 0.886 182.330
5 50 0.459 4.061 0.914 182.729
5 51 0.130 2.679 0.951 183.057
5 52 0.163 2.813 0.930 183.415
5 53 0.163 2.769 0.928 183.785
5 54 0.156 2.730 0.939 184.078
5 55 0.282 2.789 0.859 184.333
5 56 0.262 1.960 0.900 184.532
5 57 0.158 2.956 0.937 184.928
5 58 0.142 2.572 0.947 185.244
5 59 0.203 2.033 0.939 185.451
5 60 0.225 2.153 0.909 185.646
5 61 0.199 2.604 0.917 185.959
5 62 0.293 2.446 0.873 186.250
5 63 0.167 2.728 0.935 186.598
5 64 0.233 3.277 0.909 186.893
5 65 0.188 2.677 0.924 187.244
5 66 0.149 2.943 0.943 187.649
5 67 0.337 2.379 0.872 187.875
5 68 0.376 2.290 0.828 188.142
5 69 0.207 2.696 0.907 188.455
5 70 0.148 2.878 0.940 188.854
5 71 0.279 1.940 0.860 189.057
5 72 0.196 2.011 0.945 189.281
5 73 0.151 2.882 0.947 189.617
5 74 0.185 2.442 0.938 189.898
6 0 0.241 2.420 0.894 196.607
6 1 0.143 2.681 0.940 200.205
6 2 0.172 2.629 0.930 200.584
6 3 0.148 2.740 0.942 200.959
6 4 0.234 2.865 0.902 201.335
6 5 0.290 1.966 0.868 201.605
6 6 0.314 2.000 0.865 201.782
6 7 0.215 3.089 0.896 202.161
6 8 0.170 2.672 0.938 202.580
6 9 0.453 3.342 0.810 202.870
6 10 0.142 2.693 0.943 203.213
6 11 0.217 2.853 0.900 203.438
6 12 0.582 2.132 0.776 203.650
6 13 0.145 2.397 0.944 203.932
6 14 0.130 2.869 0.946 204.321
6 15 0.146 2.472 0.942 204.619
6 16 0.359 2.553 0.851 204.938
6 17 0.207 2.465 0.916 205.198
6 18 0.242 2.949 0.890 205.589
6 19 0.235 2.029 0.908 205.816
6 20 0.145 2.674 0.944 206.134
6 21 0.295 2.476 0.882 206.460
6 22 0.320 2.318 0.870 206.670
6 23 0.264 2.370 0.894 206.947
6 24 0.193 2.869 0.916 207.290
6 25 0.226 2.703 0.910 207.516
6 26 0.165 2.865 0.926 207.736
6 27 0.265 2.566 0.896 208.013
6 28 0.252 2.209 0.884 208.278
6 29 0.111 2.677 0.965 208.576
6 30 0.174 2.854 0.930 208.982
6 31 0.319 2.829 0.870 209.198
6 32 0.242 2.377 0.908 209.487
6 33 0.139 3.017 0.944 209.839
6 34 0.209 2.959 0.917 210.061
6 35 0.145 2.679 0.963 210.361
6 36 0.234 2.764 0.901 210.578
6 37 0.195 2.795 0.933 210.895
6 38 0.163 2.885 0.943 211.274
6 39 0.165 2.758 0.934 211.604
6 40 0.182 2.598 0.935 211.896
6 41 0.233 2.222 0.908 212.178
6 42 0.191 2.663 0.918 212.471
6 43 0.175 2.537 0.923 212.757
6 44 0.302 2.123 0.878 212.963
6 45 0.148 2.519 0.941 213.303
6 46 0.284 2.339 0.881 213.578
6 47 0.295 2.219 0.877 213.842
6 48 0.201 2.212 0.916 214.111
6 49 0.173 2.828 0.937 214.444
6 50 0.253 2.795 0.900 214.808
6 51 0.186 2.956 0.921 215.140
6 52 0.208 1.890 0.924 215.363
6 53 0.282 2.642 0.891 215.603
6 54 0.198 2.780 0.931 215.905
6 55 0.241 3.014 0.900 216.218
6 56 0.218 2.131 0.922 216.462
6 57 0.117 2.840 0.955 216.799
6 58 0.268 2.536 0.890 217.148
6 59 0.431 1.871 0.819 217.363
6 60 0.199 2.850 0.915 217.699
6 61 0.142 2.555 0.935 218.015
6 62 0.152 1.884 0.957 218.239
6 63 0.146 2.267 0.936 218.500
6 64 0.179 2.019 0.935 218.746
6 65 0.174 2.745 0.928 219.096
6 66 0.303 2.218 0.880 219.364
6 67 0.164 2.587 0.936 219.682
6 68 0.052 3.127 0.986 220.103
6 69 0.177 2.730 0.928 220.374
6 70 0.281 2.556 0.889 220.633
6 71 0.127 2.845 0.951 221.007
6 72 0.144 2.757 0.941 221.337
6 73 0.174 2.411 0.941 221.566
6 74 0.163 2.739 0.934 221.903
7 0 0.119 2.645 0.952 231.772
7 1 0.308 2.498 0.884 232.117
7 2 0.231 2.709 0.911 232.496
7 3 0.355 2.535 0.871 232.858
7 4 0.187 2.826 0.930 233.100
7 5 0.154 2.904 0.939 233.540
7 6 0.264 2.953 0.900 233.945
7 7 0.118 2.640 0.956 234.276
7 8 0.265 2.679 0.906 234.602
7 9 0.130 2.409 0.951 234.821
7 10 0.146 2.732 0.940 235.211
7 11 0.183 2.653 0.922 235.591
7 12 0.131 2.377 0.950 235.874
7 13 0.224 2.712 0.911 236.113
7 14 0.435 2.036 0.843 236.301
7 15 0.140 2.687 0.944 236.635
7 16 0.322 2.477 0.858 236.957
7 17 0.156 2.819 0.937 237.299
7 18 0.281 2.557 0.893 237.575
7 19 0.235 2.216 0.901 237.843
7 20 0.179 2.707 0.927 238.188
7 21 0.247 2.326 0.897 238.471
7 22 0.233 2.285 0.899 238.780
7 23 0.119 2.664 0.956 239.162
7 24 0.201 2.008 0.922 239.403
7 25 0.665 3.244 0.842 239.790
7 26 0.171 2.646 0.939 240.129
7 27 0.163 3.035 0.925 240.515
7 28 0.631 2.737 0.724 240.710
7 29 0.504 3.204 0.887 241.097
7 30 0.128 2.850 0.950 241.443
7 31 0.243 2.230 0.916 241.672
7 32 0.211 2.362 0.928 241.921
7 33 0.242 2.270 0.891 242.206
7 34 0.155 2.562 0.941 242.581
7 35 0.287 1.895 0.885 242.837
